url=http://127.0.0.1:8000/v1/chat/completions model=deepseek-ai/DeepSeek-V4.1-Flash max_tokens=512 temperature=0.2 runs=10 phase=lail_prose c=1
run=1 {"ttft_s": 1.24570260301698, "decode_s": 16.134720508009195, "prompt_tokens": 61, "completion_tokens": 512, "finish_reason": "length", "chunks": 248, "lail_tok_s": 31.732808742850285, "recipe_tok_s": 31.670830600774405, "tokens_per_chunk": 2.064516129032258, "repeat_ratio": 0.002386634844868735, "collapsed": false, "preview": "The KV cache is the product, not a leftover after util. That inversion matters because it changes what you optimize. In a conventional serving stack, you treat cache occupancy as a tax on the memory budget you already spent on weights, acti", "acceptance_len": 2.0769230769230766, "draft_acceptance_rate": 0.358974358974359}
run=2 {"ttft_s": 0.30861333903158084, "decode_s": 15.861772800970357, "prompt_tokens": 61, "completion_tokens": 512, "finish_reason": "length", "chunks": 247, "lail_tok_s": 32.278863556076026, "recipe_tok_s": 32.215818900693066, "tokens_per_chunk": 2.0728744939271255, "repeat_ratio": 0.0024271844660194173, "collapsed": false, "preview": "Decode throughput and time-to-first-token feel different when a coding agent shares a long system prompt across tabs on a DGX Spark with unified memory. The KV cache is the product, not a leftover after util. It is the artifact that makes t", "acceptance_len": 2.0772357723577235, "draft_acceptance_rate": 0.35907859078590787}
run=3 {"ttft_s": 0.36287931096740067, "decode_s": 15.767511289042886, "prompt_tokens": 61, "completion_tokens": 512, "finish_reason": "length", "chunks": 242, "lail_tok_s": 32.47183341836562, "recipe_tok_s": 32.40841186872038, "tokens_per_chunk": 2.115702479338843, "repeat_ratio": 0.002386634844868735, "collapsed": false, "preview": "The KV cache is the product, not a leftover after util. On a DGX Spark with unified memory, the distinction between decode throughput and time-to-first-token stops being a matter of arithmetic and becomes a matter of topology. The same long", "acceptance_len": 2.128630705394191, "draft_acceptance_rate": 0.37621023513139695}
run=4 {"ttft_s": 0.30859503796091303, "decode_s": 16.433798136014957, "prompt_tokens": 61, "completion_tokens": 512, "finish_reason": "length", "chunks": 254, "lail_tok_s": 31.155305411592163, "recipe_tok_s": 31.094455205710148, "tokens_per_chunk": 2.015748031496063, "repeat_ratio": 0.0024154589371980675, "collapsed": false, "preview": "The KV cache is the product, not a leftover after util. That inversion matters because it changes what you optimize. In a conventional serving stack, you treat cache occupancy as a tax on the memory budget you would otherwise spend on weigh", "acceptance_len": 2.0316205533596836, "draft_acceptance_rate": 0.3438735177865613}
run=5 {"ttft_s": 0.3120067919953726, "decode_s": 15.145311355998274, "prompt_tokens": 61, "completion_tokens": 512, "finish_reason": "length", "chunks": 231, "lail_tok_s": 33.80584181897478, "recipe_tok_s": 33.73981478417209, "tokens_per_chunk": 2.2164502164502164, "repeat_ratio": 0.0023584905660377358, "collapsed": false, "preview": "The KV cache is the product, not a leftover after util. That inversion matters because it changes what you are actually buying when you buy tokens. On a DGX Spark with unified memory, the boundary between \"prompt processing\" and \"generation", "acceptance_len": 2.2217391304347824, "draft_acceptance_rate": 0.4072463768115942}
run=6 {"ttft_s": 0.36339969997061417, "decode_s": 14.737257226021029, "prompt_tokens": 61, "completion_tokens": 512, "finish_reason": "length", "chunks": 227, "lail_tok_s": 34.74187850205807, "recipe_tok_s": 34.67402327060874, "tokens_per_chunk": 2.2555066079295156, "repeat_ratio": 0.002320185614849188, "collapsed": false, "preview": "The KV cache is the product, not a leftover after util. On unified memory, every tab's resident prefix is a first-class allocation that the scheduler has to price into the same budget as weights and activations, and the pricing is done in t", "acceptance_len": 2.269911504424779, "draft_acceptance_rate": 0.42330383480825956}
run=7 {"ttft_s": 0.3599154989933595, "decode_s": 16.241290831007063, "prompt_tokens": 61, "completion_tokens": 512, "finish_reason": "length", "chunks": 248, "lail_tok_s": 31.524587874660497, "recipe_tok_s": 31.463016413967804, "tokens_per_chunk": 2.064516129032258, "repeat_ratio": 0.0025, "collapsed": false, "preview": "The KV cache is the product, not a leftover after util. On unified memory, the distinction between \"resident\" and \"paged\" collapses into a single accounting question: what fraction of the prompt's attention state is still hot when the next ", "acceptance_len": 2.0688259109311744, "draft_acceptance_rate": 0.3562753036437247}
run=8 {"ttft_s": 0.3092773469979875, "decode_s": 15.468224147043657, "prompt_tokens": 61, "completion_tokens": 512, "finish_reason": "length", "chunks": 238, "lail_tok_s": 33.10011512199707, "recipe_tok_s": 33.03546645964942, "tokens_per_chunk": 2.1512605042016806, "repeat_ratio": 0.002421307506053269, "collapsed": false, "preview": "The KV cache is the product, not a leftover after util. That inversion matters because it changes what you are optimizing for. In a conventional serving stack, you treat the cache as a byproduct of attention \u2014 something you allocate, grow, ", "acceptance_len": 2.1603375527426163, "draft_acceptance_rate": 0.38677918424753865}
run=9 {"ttft_s": 0.37150756700430065, "decode_s": 14.750735112000257, "prompt_tokens": 61, "completion_tokens": 512, "finish_reason": "length", "chunks": 223, "lail_tok_s": 34.710134519565024, "recipe_tok_s": 34.642341288081504, "tokens_per_chunk": 2.295964125560538, "repeat_ratio": 0.002336448598130841, "collapsed": false, "preview": "The KV cache is the product, not a leftover after util. That inversion matters because it changes what you are optimizing for. In a conventional serving stack, you treat the cache as a byproduct of attention \u2014 something you allocate, grow, ", "acceptance_len": 2.315315315315315, "draft_acceptance_rate": 0.43843843843843844}
run=10 {"ttft_s": 0.30723522999323905, "decode_s": 16.378454171004705, "prompt_tokens": 61, "completion_tokens": 512, "finish_reason": "length", "chunks": 253, "lail_tok_s": 31.260581411059523, "recipe_tok_s": 31.199525587991047, "tokens_per_chunk": 2.0237154150197627, "repeat_ratio": 0.002347417840375587, "collapsed": false, "preview": "The KV cache is the product, not a leftover after util. That inversion matters because the economics of a shared long system prompt across tabs stop being about \"how much memory is left over\" and start being about \"how much reusable state c", "acceptance_len": 2.0317460317460316, "draft_acceptance_rate": 0.3439153439153439}
natural phase=lail_prose completion_tokens=512 finish_reason=length
SUMMARY {
  "phase": "lail_prose",
  "concurrency": 1,
  "max_tokens": 512,
  "temperature": 0.2,
  "n": 10,
  "median_lail_tok_s": 32.37534848722082,
  "median_recipe_tok_s": 32.31211538470672,
  "median_ttft_s": 0.33596114549436606,
  "median_completion_tokens": 512.0,
  "natural_completion_tokens": 512,
  "natural_finish_reason": "length",
  "post_eos_fraction": 0.0,
  "median_acceptance_len": 2.1029332388759574,
  "median_draft_acceptance_rate": 0.3676444129586524
}
