utc	iter	change	result	median_decode	notes
2026-09-11T21:03:51Z	baseline	main defaults (eager, SPEC=none, exl3_moe)	keep as denominator	12.75	200-token prose c=1; 1.5x bar=19.12
2026-09-11T21:15:20Z	h1-wave1	SPEC=dspark NUM_SPECULATIVE_TOKENS=5 eager	keep	23.03	accept_len=3.19 draft_accept=0.437; 1.81x; no OOM
2026-09-11T21:16:32Z	h1-wave2	same serve, second 3-run median	keep as published	21.23	accept_len=2.98; 1.67x; smoke 323; UMA remaining both nodes
2026-09-11T21:16:32Z	h2	native p2b 5120x1152 CUDA	deferred	—	patcher+tests staged; not wired into Dockerfile; DSpark already clears 1.5x without image rebuild
2026-09-12T21:26:00Z	vision-on	LANGUAGE_MODEL_ONLY=0 SWA index 128	keep	14.66	vision_n_layers=32 vision_max_n_token=1024; smoke 323; no OOM
2026-09-12T21:40:00Z	greedy-draft	draft_sample_method=greedy	keep as vLLM default	15.29	accept 2.34; within noise of 15.3
2026-09-12T21:54:00Z	indexer-native	SM120 native next_n=6	keep as correctness	15.10	use_flattening=False; not a tok/s win
2026-09-12T22:12:00Z	p2b-mrow	one cooperative launch over 6 rows	reverted	13.24	slower than m=1 python loop on GB10
2026-09-12T22:25:00Z	reverted	shapes-only p2b + vision-on + greedy + native indexer	keep	15.14	second independent L.A.I.L wave; 30 not met
2026-09-13T12:00:00Z	p2b-cfg1	CFG=1 p2b tile WK=8 WNT=4 PF=2 FOLD=2	keep	~23	fused MoE CFG=1; see evidence/p2b-cfg1
2026-09-13T20:00:00Z	b12x-mxfp8	mm_mxfp8 backend=auto (b12x small-M on SM120)	keep as published	23.44	second wave 22.37; vision on; smoke 323; no OOM; evidence/b12x-mxfp8
2026-09-15T19:30:00Z	p2b-cfg2	CFG=2 p2b tile WK=8 WNT=8 COLS=128 cb=1	unmeasured	—	patcher after cfg1; GLM holds exclusive GPUs; later exclusive A/B vs 27.98
2026-09-15T19:30:00Z	nccl-decode	CROSS_NIC=0 exact HCA Ring nchannels 1-2	unmeasured	—	no PROTO=LL; later exclusive A/B vs 27.98
