-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  
              concurrent/futures/thread.py(89): _worker        17.03%       21.538s        33.33%       42.165s       21.083s             2  
<built-in method get of _queue.SimpleQueue object at...        16.66%       21.080s        16.66%       21.080s       21.080s             1  
<built-in method get of _queue.SimpleQueue object at...        16.31%       20.626s        16.31%       20.626s       10.313s             2  
<built-in method poll of select.poll object at 0xf0d...        16.01%       20.251s        16.01%       20.251s     964.350ms            21  
<built-in method acquire of _thread.lock object at 0...        15.99%       20.228s        15.99%       20.228s     288.977ms            70  
                           asyncio/runners.py(118): run        15.82%       20.015s        16.67%       21.083s       21.083s             1  
                              selectors.py(415): select         0.66%     829.401ms         0.66%     829.401ms     829.401ms             1  
                                threading.py(355): wait         0.52%     654.758ms         0.52%     654.788ms     654.788ms             1  
<built-in method decode of tokenizers.Tokenizer obje...         0.16%     198.691ms         0.16%     198.691ms     372.081us           534  
<built-in method step of tokenizers.decoders.DecodeS...         0.07%      93.826ms         0.07%      93.826ms     183.253us           512  
vllm/parser/engine/incremental_lexer.py(150): _char_...         0.06%      70.954ms         0.07%      93.487ms       1.113ms            84  
      prometheus_client/exposition.py(276): sample_line         0.03%      35.279ms         0.09%     111.434ms      21.348us          5220  
vllm/entrypoints/openai/chat_completion/serving.py(5...         0.02%      22.740ms         0.49%     625.326ms       2.472ms           253  
          transformers/utils/generic.py(356): <genexpr>         0.02%      21.683ms         0.02%      30.432ms       0.472us         64527  
       vllm/v1/engine/async_llm.py(774): output_handler         0.02%      19.476ms         0.19%     240.464ms     950.451us           253  
                                <built-in function all>         0.02%      19.450ms         0.04%      49.886ms      92.040us           542  
vllm/parser/engine/token_id_scanner.py(76): <genexpr...         0.01%      18.914ms         0.03%      34.351ms       0.998us         34435  
               vllm/v1/metrics/loggers.py(1110): record         0.01%      18.647ms         0.04%      53.987ms     213.386us           253  
vllm/entrypoints/serve/engine/protocol.py(29): __log...         0.01%      18.566ms         0.02%      24.404ms      15.320us          1593  
<built-in method extend of list object at 0xf0de6c90...         0.01%      18.469ms         0.01%      18.469ms      17.966us          1028  
prometheus_client/exposition.py(265): generate_lates...         0.01%      16.822ms         0.16%     197.636ms      19.764ms            10  
                         <built-in function isinstance>         0.01%      16.776ms         0.01%      18.180ms       0.210us         86411  
                                <built-in function len>         0.01%      16.565ms         0.01%      16.565ms       0.191us         86861  
vllm/parser/engine/incremental_lexer.py(178): _pop_t...         0.01%      15.551ms         0.01%      16.287ms     191.616us            85  
                    zmq/_future.py(670): _handle_events         0.01%      13.609ms         0.04%      50.097ms     197.234us           254  
<built-in method find of str object at 0xf0e11f41576...         0.01%      12.966ms         0.01%      12.966ms       0.376us         34454  
vllm/parser/engine/token_id_scanner.py(73): _decode_...         0.01%      12.697ms         0.04%      47.049ms     560.102us            84  
vllm/parser/engine/token_id_scanner.py(65): _decode_...         0.01%      12.160ms         0.01%      15.437ms       0.449us         34351  
<built-in method match of re.Pattern object at 0xf0e...         0.01%      11.338ms         0.01%      11.338ms       0.321us         35280  
<built-in method to_json of pydantic_core._pydantic_...         0.01%      11.010ms         0.01%      14.646ms      57.435us           255  
vllm/parser/engine/incremental_lexer.py(272): _find_...         0.01%      10.916ms         0.01%      13.112ms     154.255us            85  
prometheus_client/openmetrics/exposition.py(219): _e...         0.01%      10.132ms         0.01%      16.535ms       1.177us         14050  
prometheus_client/validation.py(94): _is_valid_legac...         0.01%       9.834ms         0.02%      19.490ms       1.387us         14050  
      prometheus_client/metrics.py(692): _child_samples         0.01%       8.967ms         0.02%      21.968ms     109.839us           200  
prometheus_client/openmetrics/exposition.py(196): es...         0.01%       8.843ms         0.02%      29.640ms       2.110us         14050  
         prometheus_client/utils.py(9): floatToGoString         0.01%       8.753ms         0.01%      14.144ms       1.650us          8574  
    uvicorn/protocols/http/httptools_impl.py(463): send         0.01%       8.635ms         0.02%      20.236ms      58.825us           344  
<built-in method format of str object at 0xf0e0c4539...         0.01%       8.444ms         0.01%       8.444ms       0.334us         25290  
      prometheus_client/metrics.py(276): _multi_samples         0.01%       8.372ms         0.01%      13.974ms       2.905us          4810  
<built-in method decode of msgspec.msgpack.Decoder o...         0.01%       8.184ms         0.01%       8.384ms      33.007us           254  
vllm/v1/engine/output_processor.py(622): process_out...         0.01%       8.132ms         0.11%     139.371ms     550.875us           253  
<built-in method validate_python of pydantic_core._p...         0.01%       7.424ms         0.02%      30.971ms      23.624us          1311  
                                 enum.py(1562): __and__         0.01%       7.369ms         0.01%      16.048ms       7.790us          2060  
                   zmq/_future.py(470): _add_recv_event         0.01%       7.319ms         0.02%      28.820ms     113.464us           254  
                   prometheus_client/values.py(18): inc         0.01%       7.051ms         0.01%       7.786ms       1.363us          5713  
<built-in method replace of str object at 0xf0e0c457...         0.01%       6.940ms         0.01%       6.940ms       0.157us         44110  
                      zmq/_future.py(586): _handle_recv         0.01%       6.873ms         0.02%      27.629ms     108.775us           254  
vllm/parser/engine/parser_engine.py(713): _events_to...         0.01%       6.764ms         0.02%      22.509ms      44.485us           506  
vllm/parser/metrics.py(65): record_tool_parser_invoc...         0.01%       6.409ms         0.01%      13.806ms      54.568us           253  
       vllm/parser/abstract_parser.py(824): parse_delta         0.01%       6.395ms         0.05%      61.906ms     244.688us           253  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  
Self CPU time total: 126.495s

