arm                      rows  ms/call (median)   us/row prepass ms  fadvise
serial                   2000             844.7    422.4        0.0        0
willneed+serial          2000              18.9      9.4       12.7     3987
pool                     2000              46.3     23.2        0.0        0
willneed+pool            2000              34.7     17.3       10.5     3991
hot serial               2000               7.1      3.5        0.0        0
hot willneed+serial      2000               7.6      3.8        2.5     3987
willneed+serial         20000             160.2      8.0       91.6    39187
pool                    20000             379.5     19.0        0.0        0
willneed+pool           20000             308.7     15.4       94.1    39224
hot serial              20000              85.9      4.3        0.0        0
hot willneed+serial     20000              86.3      4.3       26.0    39187
