url=http://127.0.0.1:8000/v1/chat/completions model=deepseek-ai/DeepSeek-V4.1-Flash max_tokens=512 temperature=0.2 runs=3 phase=lail_prose c=1
run=1 {"ttft_s": 0.32590857399918605, "decode_s": 24.119663133998984, "prompt_tokens": 61, "completion_tokens": 512, "chunks": 217, "lail_tok_s": 21.227493815130725, "recipe_tok_s": 21.18603386627305, "tokens_per_chunk": 2.359447004608295, "repeat_ratio": 0.0024630541871921183, "collapsed": false, "preview": "The KV cache is the product, not a leftover after util. That inversion matters because it changes what you optimize. In a conventional serving stack, you treat cache occupancy as a tax on the memory budget you would otherwise spend on weigh", "acceptance_len": 2.388888888888889, "draft_acceptance_rate": 0.2777777777777778}
run=2 {"ttft_s": 0.3259808000002522, "decode_s": 25.04045505999966, "prompt_tokens": 61, "completion_tokens": 512, "chunks": 222, "lail_tok_s": 20.44691275670479, "recipe_tok_s": 20.40697738022685, "tokens_per_chunk": 2.3063063063063063, "repeat_ratio": 0.0023094688221709007, "collapsed": false, "preview": "The KV cache is the product, not a leftover after util. That inversion matters because the usual mental model \u2014 prefill as a cost you pay, decode as the reward you earn \u2014 assumes the cache is incidental, a byproduct of attention that happen", "acceptance_len": 2.3122171945701355, "draft_acceptance_rate": 0.26244343891402716}
run=3 {"ttft_s": 0.4198387040014495, "decode_s": 26.185269194000284, "prompt_tokens": 61, "completion_tokens": 512, "chunks": 233, "lail_tok_s": 19.552978287399554, "recipe_tok_s": 19.514788876681976, "tokens_per_chunk": 2.1974248927038627, "repeat_ratio": 0.002364066193853428, "collapsed": false, "preview": "The KV cache is the product, not a leftover after util. On a DGX Spark, unified memory collapses the usual hierarchy \u2014 host DRAM, device VRAM, and the page cache become one addressable pool \u2014 so the question of where the cache lives stops b", "acceptance_len": 2.206896551724138, "draft_acceptance_rate": 0.2413793103448276}
SUMMARY {
  "phase": "lail_prose",
  "concurrency": 1,
  "max_tokens": 512,
  "temperature": 0.2,
  "n": 3,
  "median_lail_tok_s": 20.44691275670479,
  "median_recipe_tok_s": 20.40697738022685,
  "median_ttft_s": 0.3259808000002522,
  "median_completion_tokens": 512,
  "median_acceptance_len": 2.3122171945701355,
  "median_draft_acceptance_rate": 0.26244343891402716
}
