url=http://127.0.0.1:8000/v1/chat/completions model=deepseek-ai/DeepSeek-V4.1-Flash max_tokens=512 temperature=0.2 runs=3 phase=lail_prose c=1
run=1 {"ttft_s": 0.32092003896832466, "decode_s": 17.766798599041067, "prompt_tokens": 61, "completion_tokens": 512, "finish_reason": "length", "chunks": 235, "lail_tok_s": 28.817797260764486, "recipe_tok_s": 28.761512500489555, "tokens_per_chunk": 2.178723404255319, "repeat_ratio": 0.0023584905660377358, "collapsed": false, "preview": "The KV cache is the product, not a leftover after util. On a DGX Spark with unified memory, the boundary between \"context that is resident\" and \"context that is being computed\" is not a wall but a gradient. The system prompt, once encoded, ", "acceptance_len": 2.1965811965811968, "draft_acceptance_rate": 0.39886039886039887}
run=2 {"ttft_s": 0.3045009819907136, "decode_s": 16.60811225703219, "prompt_tokens": 61, "completion_tokens": 512, "finish_reason": "length", "chunks": 220, "lail_tok_s": 30.828308002506997, "recipe_tok_s": 30.7680964634396, "tokens_per_chunk": 2.327272727272727, "repeat_ratio": 0.002403846153846154, "collapsed": false, "preview": "The KV cache is the product, not a leftover after util. It is the artifact that makes the agent feel continuous across tabs, the thing that lets the same long system prompt be amortized rather than re-materialized every time a new session o", "acceptance_len": 2.333333333333333, "draft_acceptance_rate": 0.4444444444444444}
run=3 {"ttft_s": 0.36224735400173813, "decode_s": 19.56602503504837, "prompt_tokens": 61, "completion_tokens": 512, "finish_reason": "length", "chunks": 255, "lail_tok_s": 26.16780869302073, "recipe_tok_s": 26.116699691667176, "tokens_per_chunk": 2.007843137254902, "repeat_ratio": 0.0023752969121140144, "collapsed": false, "preview": "The KV cache is the product, not a leftover after util. On a DGX Spark with unified memory, every tab that shares the same long system prompt is effectively renting the same prefill artifact \u2014 the prompt's KV entries are computed once and t", "acceptance_len": 2.0118110236220472, "draft_acceptance_rate": 0.33727034120734906}
natural phase=lail_prose completion_tokens=512 finish_reason=length
SUMMARY {
  "phase": "lail_prose",
  "concurrency": 1,
  "max_tokens": 512,
  "temperature": 0.2,
  "n": 3,
  "median_lail_tok_s": 28.817797260764486,
  "median_recipe_tok_s": 28.761512500489555,
  "median_ttft_s": 0.32092003896832466,
  "median_completion_tokens": 512,
  "natural_completion_tokens": 512,
  "natural_finish_reason": "length",
  "post_eos_fraction": 0.0,
  "median_acceptance_len": 2.1965811965811968,
  "median_draft_acceptance_rate": 0.39886039886039887
}
