url=http://127.0.0.1:8000/v1/chat/completions model=deepseek-ai/DeepSeek-V4.1-Flash max_tokens=512 temperature=0.2 runs=3 phase=lail_prose c=1
run=1 {"ttft_s": 0.31584674498299137, "decode_s": 15.970560048997868, "prompt_tokens": 61, "completion_tokens": 512, "finish_reason": "length", "chunks": 254, "lail_tok_s": 32.05898844055424, "recipe_tok_s": 31.996373228756283, "tokens_per_chunk": 2.015748031496063, "repeat_ratio": 0.0024330900243309003, "collapsed": false, "preview": "The KV cache is the product, not a leftover after util. On unified memory, the distinction between \"resident\" and \"paged\" collapses into a single pool where the allocator's job is not to keep pages warm but to keep the *working set* coheren", "acceptance_len": 2.0197628458498027, "draft_acceptance_rate": 0.33992094861660077}
run=2 {"ttft_s": 0.35093289997894317, "decode_s": 14.547316654003225, "prompt_tokens": 61, "completion_tokens": 512, "finish_reason": "length", "chunks": 232, "lail_tok_s": 35.19549427413505, "recipe_tok_s": 35.12675307438088, "tokens_per_chunk": 2.206896551724138, "repeat_ratio": 0.002232142857142857, "collapsed": false, "preview": "The KV cache is the product, not a leftover after util. That inversion matters because it changes what you are optimizing for. In a conventional serving stack, you provision memory for weights first, then treat whatever remains as headroom ", "acceptance_len": 2.225108225108225, "draft_acceptance_rate": 0.4083694083694084}
run=3 {"ttft_s": 0.3222875820356421, "decode_s": 15.065908128977753, "prompt_tokens": 61, "completion_tokens": 512, "finish_reason": "length", "chunks": 240, "lail_tok_s": 33.98401182436655, "recipe_tok_s": 33.91763680127208, "tokens_per_chunk": 2.1333333333333333, "repeat_ratio": 0.004651162790697674, "collapsed": false, "preview": "The KV cache is the product, not a leftover after util. That inversion matters because it changes what you optimize. In a conventional serving stack, you treat the cache as a byproduct of attention \u2014 something you allocate, grow, and eventu", "acceptance_len": 2.1380753138075317, "draft_acceptance_rate": 0.3793584379358438}
natural phase=lail_prose completion_tokens=512 finish_reason=length
SUMMARY {
  "phase": "lail_prose",
  "concurrency": 1,
  "max_tokens": 512,
  "temperature": 0.2,
  "n": 3,
  "median_lail_tok_s": 33.98401182436655,
  "median_recipe_tok_s": 33.91763680127208,
  "median_ttft_s": 0.3222875820356421,
  "median_completion_tokens": 512,
  "natural_completion_tokens": 512,
  "natural_finish_reason": "length",
  "post_eos_fraction": 0.0,
  "median_acceptance_len": 2.1380753138075317,
  "median_draft_acceptance_rate": 0.3793584379358438
}
