url=http://127.0.0.1:8000/v1/chat/completions model=deepseek-ai/DeepSeek-V4.1-Flash max_tokens=512 temperature=0.2 runs=3 phase=lail_prose c=1
run=1 {"ttft_s": 0.3109433979843743, "decode_s": 17.753466814989224, "prompt_tokens": 61, "completion_tokens": 512, "finish_reason": "length", "chunks": 231, "lail_tok_s": 28.839437690430085, "recipe_tok_s": 28.783110663690966, "tokens_per_chunk": 2.2164502164502164, "repeat_ratio": 0.002325581395348837, "collapsed": false, "preview": "The KV cache is the product, not a leftover after util. On a DGX Spark with unified memory, the boundary between \"what the model knows\" and \"what the machine remembers\" dissolves into a single pool that both the prompt-processing pipeline a", "acceptance_len": 2.2217391304347824, "draft_acceptance_rate": 0.4072463768115942}
run=2 {"ttft_s": 0.30846329202177003, "decode_s": 19.9355916439672, "prompt_tokens": 61, "completion_tokens": 512, "finish_reason": "length", "chunks": 261, "lail_tok_s": 25.682709053430006, "recipe_tok_s": 25.632547512310026, "tokens_per_chunk": 1.9616858237547892, "repeat_ratio": 0.0023584905660377358, "collapsed": false, "preview": "The KV cache is the product, not a leftover after util. On unified memory, every tab's resident prefix is a first-class allocation, and the scheduler's job is to keep the hot set resident while cold tails spill to the same physical pool. De", "acceptance_len": 1.9653846153846155, "draft_acceptance_rate": 0.3217948717948718}
run=3 {"ttft_s": 0.3079116750159301, "decode_s": 17.711680451990105, "prompt_tokens": 61, "completion_tokens": 512, "finish_reason": "length", "chunks": 233, "lail_tok_s": 28.907477265516672, "recipe_tok_s": 28.85101734898246, "tokens_per_chunk": 2.1974248927038627, "repeat_ratio": 0.004728132387706856, "collapsed": false, "preview": "The KV cache is the product, not a leftover after util. On a DGX Spark with unified memory, that product is manufactured at the boundary between the prompt-processing engine and the decode engine, and its cost is paid in the currency of ban", "acceptance_len": 2.206896551724138, "draft_acceptance_rate": 0.40229885057471265}
natural phase=lail_prose completion_tokens=512 finish_reason=length
SUMMARY {
  "phase": "lail_prose",
  "concurrency": 1,
  "max_tokens": 512,
  "temperature": 0.2,
  "n": 3,
  "median_lail_tok_s": 28.839437690430085,
  "median_recipe_tok_s": 28.783110663690966,
  "median_ttft_s": 0.30846329202177003,
  "median_completion_tokens": 512,
  "natural_completion_tokens": 512,
  "natural_finish_reason": "length",
  "post_eos_fraction": 0.0,
  "median_acceptance_len": 2.206896551724138,
  "median_draft_acceptance_rate": 0.40229885057471265
}
