top - 01:26:31 up 11 days, 13:22,  4 users,  load average: 1.38, 1.53, 1.61
Tasks: 515 total,   2 running, 509 sleeping,   0 stopped,   4 zombie
%Cpu(s):  7.1 us,  2.5 sy,  0.0 ni, 90.0 id,  0.4 wa,  0.0 hi,  0.0 si,  0.0 st 
MiB Mem : 124610.1 total,  23561.3 free,  98685.7 used,   4156.0 buff/cache     
MiB Swap:  16384.0 total,  11915.1 free,   4468.9 used.  25924.4 avail Mem 

    PID USER      PR  NI    VIRT    RES    SHR S  %CPU  %MEM     TIME+ COMMAND
1373847 root      20   0 3015.5g   3.0g 761712 R 181.8   2.4  12:29.62 VLLM::Worker_TP
1436415 sfxnz     20   0   25424   4772   2684 R   9.1   0.0   0:00.02 top
      1 root      20   0   24164  10528   6112 S   0.0   0.0  13:07.45 systemd
      2 root      20   0       0      0      0 S   0.0   0.0   0:03.16 kthreadd
      3 root      20   0       0      0      0 S   0.0   0.0   0:00.00 pool_workqueue_release
      4 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker/R-rcu_gp
      5 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker/R-sync_wq
      6 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker/R-kvfree_rcu_reclaim
      7 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker/R-slub_flushwq
      8 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker/R-netns
     10 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker/0:0H-events_highpri
     13 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker/R-mm_percpu_wq
     14 root      20   0       0      0      0 S   0.0   0.0   0:16.13 ksoftirqd/0
     15 root      20   0       0      0      0 I   0.0   0.0   7:45.50 rcu_preempt
     16 root      20   0       0      0      0 S   0.0   0.0   0:00.52 rcu_exp_par_gp_kthread_worker/1
     17 root      20   0       0      0      0 S   0.0   0.0   0:00.86 rcu_exp_gp_kthread_worker
     18 root      rt   0       0      0      0 S   0.0   0.0   0:07.66 migration/0
     19 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 idle_inject/0
