url=http://127.0.0.1:8000/v1/chat/completions model=deepseek-ai/DeepSeek-V4.1-Flash max_tokens=512 temperature=0.2 runs=9 phase=lail_prose c=1
run=1 {"ttft_s": 0.31433266098611057, "decode_s": 15.32858763501281, "prompt_tokens": 61, "completion_tokens": 512, "chunks": 234, "lail_tok_s": 33.40164222504849, "recipe_tok_s": 33.33640464257769, "tokens_per_chunk": 2.1880341880341883, "repeat_ratio": 0.002331002331002331, "collapsed": false, "preview": "The KV cache is the product, not a leftover after util. That inversion matters because it changes what you are optimizing for. In a conventional serving stack, you treat the cache as a byproduct of attention \u2014 something you allocate, grow, ", "acceptance_len": 2.1974248927038627, "draft_acceptance_rate": 0.39914163090128757}
run=2 {"ttft_s": 0.36203649299568497, "decode_s": 15.256072081014281, "prompt_tokens": 61, "completion_tokens": 512, "chunks": 234, "lail_tok_s": 33.56040776951811, "recipe_tok_s": 33.49486009809327, "tokens_per_chunk": 2.1880341880341883, "repeat_ratio": 0.0024330900243309003, "collapsed": false, "preview": "The KV cache is the product, not a leftover after util. On a DGX Spark with unified memory, the boundary between \"what the model knows\" and \"what the machine remembers\" dissolves into a single pool that both the prompt and the cache draw fr", "acceptance_len": 2.1931330472103, "draft_acceptance_rate": 0.3977110157367668}
run=3 {"ttft_s": 0.3629738590097986, "decode_s": 14.798922304005828, "prompt_tokens": 61, "completion_tokens": 512, "chunks": 228, "lail_tok_s": 34.59711386290675, "recipe_tok_s": 34.52954137489326, "tokens_per_chunk": 2.245614035087719, "repeat_ratio": 0.0022988505747126436, "collapsed": false, "preview": "The KV cache is the product, not a leftover after util. On a DGX Spark with unified memory, that product is manufactured at the boundary between the prompt-processing engine and the decode engine, and its cost is paid in the currency of ban", "acceptance_len": 2.255506607929515, "draft_acceptance_rate": 0.4185022026431718}
run=4 {"ttft_s": 0.3043959059868939, "decode_s": 14.793161412002519, "prompt_tokens": 61, "completion_tokens": 512, "chunks": 226, "lail_tok_s": 34.61058699627152, "recipe_tok_s": 34.542988193544424, "tokens_per_chunk": 2.265486725663717, "repeat_ratio": 0.0024813895781637717, "collapsed": false, "preview": "The KV cache is the product, not a leftover after util. That inversion matters because it changes what you are optimizing for. In a conventional serving stack, you treat the cache as a tax you pay on every request: you allocate it, you evic", "acceptance_len": 2.2755555555555556, "draft_acceptance_rate": 0.42518518518518517}
run=5 {"ttft_s": 0.35405543600791134, "decode_s": 14.793733326980146, "prompt_tokens": 61, "completion_tokens": 512, "chunks": 227, "lail_tok_s": 34.60924897613488, "recipe_tok_s": 34.54165278672836, "tokens_per_chunk": 2.2555066079295156, "repeat_ratio": 0.0045871559633027525, "collapsed": false, "preview": "Decode throughput and time-to-first-token feel different when a coding agent shares a long system prompt across tabs on a DGX Spark with unified memory. The KV cache is the product, not a leftover after util. It is the thing you are paying ", "acceptance_len": 2.265486725663717, "draft_acceptance_rate": 0.4218289085545723}
run=6 {"ttft_s": 0.3656348729855381, "decode_s": 16.049475748004625, "prompt_tokens": 61, "completion_tokens": 512, "chunks": 243, "lail_tok_s": 31.90135354194701, "recipe_tok_s": 31.839046210810398, "tokens_per_chunk": 2.1069958847736627, "repeat_ratio": 0.002386634844868735, "collapsed": false, "preview": "The KV cache is the product, not a leftover after util. On a DGX Spark with unified memory, the boundary between \"what the model knows\" and \"what the model has already said\" collapses into a single addressable pool. A long system prompt sha", "acceptance_len": 2.111111111111111, "draft_acceptance_rate": 0.37037037037037035}
run=7 {"ttft_s": 0.36454911599867046, "decode_s": 15.032536668004468, "prompt_tokens": 61, "completion_tokens": 512, "chunks": 229, "lail_tok_s": 34.059454588908494, "recipe_tok_s": 33.992932216664535, "tokens_per_chunk": 2.2358078602620086, "repeat_ratio": 0.0025, "collapsed": false, "preview": "The KV cache is the product, not a leftover after util. That inversion matters because it changes what you optimize. In a conventional serving stack, you treat cache occupancy as a tax on the memory budget you would otherwise spend on weigh", "acceptance_len": 2.2412280701754383, "draft_acceptance_rate": 0.4137426900584795}
run=8 {"ttft_s": 0.3084598479908891, "decode_s": 16.16065314700245, "prompt_tokens": 61, "completion_tokens": 512, "chunks": 243, "lail_tok_s": 31.68188781373407, "recipe_tok_s": 31.620009126597868, "tokens_per_chunk": 2.1069958847736627, "repeat_ratio": 0.002364066193853428, "collapsed": false, "preview": "The KV cache is the product, not a leftover after util. On a DGX Spark with unified memory, the boundary between \"prefill\" and \"decode\" is not a wall but a gradient \u2014 the same physical pages that hold the system prompt's attention state are", "acceptance_len": 2.115702479338843, "draft_acceptance_rate": 0.371900826446281}
run=9 {"ttft_s": 0.36113828999805264, "decode_s": 15.298659965978004, "prompt_tokens": 61, "completion_tokens": 512, "chunks": 232, "lail_tok_s": 33.46698345728407, "recipe_tok_s": 33.40161825521906, "tokens_per_chunk": 2.206896551724138, "repeat_ratio": 0.002347417840375587, "collapsed": false, "preview": "The KV cache is the product, not a leftover after util. On a DGX Spark with unified memory, the boundary between \"prompt processing\" and \"generation\" is not a wall but a gradient \u2014 the same physical pages that hold the system prompt's keys ", "acceptance_len": 2.212121212121212, "draft_acceptance_rate": 0.40404040404040403}
SUMMARY {
  "phase": "lail_prose",
  "concurrency": 1,
  "max_tokens": 512,
  "temperature": 0.2,
  "n": 9,
  "median_lail_tok_s": 33.56040776951811,
  "median_recipe_tok_s": 33.49486009809327,
  "median_ttft_s": 0.36113828999805264,
  "median_completion_tokens": 512,
  "median_acceptance_len": 2.212121212121212,
  "median_draft_acceptance_rate": 0.40404040404040403
}
