url=http://127.0.0.1:8000/v1/chat/completions model=deepseek-ai/DeepSeek-V4.1-Flash max_tokens=512 temperature=0.2 runs=5 phase=lail_prose c=1
run=1 {"ttft_s": 1.216870600997936, "decode_s": 14.661733032029588, "prompt_tokens": 61, "completion_tokens": 512, "finish_reason": "length", "chunks": 233, "lail_tok_s": 34.92083772644748, "recipe_tok_s": 34.85263296526301, "tokens_per_chunk": 2.1974248927038627, "repeat_ratio": 0.0024271844660194173, "collapsed": false, "preview": "The KV cache is the product, not a leftover after util. On a DGX Spark with unified memory, the boundary between \"prompt processing\" and \"generation\" is not a wall but a gradient. Prefill writes the cache; decode reads it. Both phases touch", "acceptance_len": 2.2025862068965516, "draft_acceptance_rate": 0.40086206896551724}
run=2 {"ttft_s": 0.3246710259700194, "decode_s": 15.141664605995174, "prompt_tokens": 61, "completion_tokens": 512, "finish_reason": "length", "chunks": 240, "lail_tok_s": 33.813983688245166, "recipe_tok_s": 33.747940751354065, "tokens_per_chunk": 2.1333333333333333, "repeat_ratio": 0.00234192037470726, "collapsed": false, "preview": "The KV cache is the product, not a leftover after util. On a DGX Spark with unified memory, that product is priced in the same currency as the weights themselves: the prompt tokens you keep resident across tabs are not free riders on the mo", "acceptance_len": 2.1422594142259417, "draft_acceptance_rate": 0.3807531380753138}
run=3 {"ttft_s": 0.358608948008623, "decode_s": 15.28366549196653, "prompt_tokens": 61, "completion_tokens": 512, "finish_reason": "length", "chunks": 242, "lail_tok_s": 33.4998171917018, "recipe_tok_s": 33.43438786124926, "tokens_per_chunk": 2.115702479338843, "repeat_ratio": 0.002336448598130841, "collapsed": false, "preview": "The KV cache is the product, not a leftover after util. It is the artifact that makes the agent feel continuous across tabs, the thing that lets a shared system prompt stop being a tax paid at every cold start and start being an asset carri", "acceptance_len": 2.120331950207469, "draft_acceptance_rate": 0.37344398340248963}
run=4 {"ttft_s": 0.3662781399907544, "decode_s": 15.03516175900586, "prompt_tokens": 61, "completion_tokens": 512, "finish_reason": "length", "chunks": 238, "lail_tok_s": 34.053507917420234, "recipe_tok_s": 33.986997159769025, "tokens_per_chunk": 2.1512605042016806, "repeat_ratio": 0.002421307506053269, "collapsed": false, "preview": "The KV cache is the product, not a leftover after util. On a DGX Spark with unified memory, the boundary between \"what the model knows\" and \"what the model has already computed\" dissolves into a single addressable pool. A long system prompt", "acceptance_len": 2.1561181434599157, "draft_acceptance_rate": 0.3853727144866385}
run=5 {"ttft_s": 0.3602451749611646, "decode_s": 15.288021018030122, "prompt_tokens": 61, "completion_tokens": 512, "finish_reason": "length", "chunks": 243, "lail_tok_s": 33.49027316198521, "recipe_tok_s": 33.42486247221571, "tokens_per_chunk": 2.1069958847736627, "repeat_ratio": 0.002347417840375587, "collapsed": false, "preview": "The KV cache is the product, not a leftover after util. That inversion matters because it changes what you are optimizing. In a conventional serving stack, cache occupancy is a residual: you allocate pages, you evict under pressure, you tre", "acceptance_len": 2.12396694214876, "draft_acceptance_rate": 0.3746556473829201}
natural phase=lail_prose completion_tokens=512 finish_reason=length
SUMMARY {
  "phase": "lail_prose",
  "concurrency": 1,
  "max_tokens": 512,
  "temperature": 0.2,
  "n": 5,
  "median_lail_tok_s": 33.813983688245166,
  "median_recipe_tok_s": 33.747940751354065,
  "median_ttft_s": 0.3602451749611646,
  "median_completion_tokens": 512,
  "natural_completion_tokens": 512,
  "natural_finish_reason": "length",
  "post_eos_fraction": 0.0,
  "median_acceptance_len": 2.1422594142259417,
  "median_draft_acceptance_rate": 0.3807531380753138
}
