url=http://127.0.0.1:8000/v1/chat/completions model=deepseek-ai/DeepSeek-V4.1-Flash max_tokens=512 temperature=0.2 runs=9 phase=lail_prose c=1
run=1 {"ttft_s": 0.31718766401172616, "decode_s": 15.665209130995208, "prompt_tokens": 61, "completion_tokens": 512, "chunks": 239, "lail_tok_s": 32.68389178328657, "recipe_tok_s": 32.62005605714734, "tokens_per_chunk": 2.1422594142259412, "repeat_ratio": 0.002325581395348837, "collapsed": false, "preview": "The KV cache is the product, not a leftover after util. On unified memory, the distinction between \"resident\" and \"paged\" collapses into a single pool, and the scheduler's job becomes allocation across sessions rather than eviction within o", "acceptance_len": 2.1512605042016806, "draft_acceptance_rate": 0.38375350140056025}
run=2 {"ttft_s": 0.30405198902008124, "decode_s": 16.251558418996865, "prompt_tokens": 61, "completion_tokens": 512, "chunks": 246, "lail_tok_s": 31.504670924451776, "recipe_tok_s": 31.443138364052455, "tokens_per_chunk": 2.0813008130081303, "repeat_ratio": 0.0023923444976076554, "collapsed": false, "preview": "The KV cache is the product, not a leftover after util. That inversion matters because it changes what you measure. On a DGX Spark with unified memory, the boundary between \"prompt processing\" and \"generation\" is not a wall but a gradient. ", "acceptance_len": 2.089795918367347, "draft_acceptance_rate": 0.363265306122449}
run=3 {"ttft_s": 0.3575060589937493, "decode_s": 15.828434185998049, "prompt_tokens": 61, "completion_tokens": 512, "chunks": 240, "lail_tok_s": 32.3468508624131, "recipe_tok_s": 32.283673419322454, "tokens_per_chunk": 2.1333333333333333, "repeat_ratio": 0.00234192037470726, "collapsed": false, "preview": "The KV cache is the product, not a leftover after util. That inversion matters because it changes what you are optimizing for. In a conventional serving stack, you treat the cache as a tax you pay on top of the model weights, something to b", "acceptance_len": 2.1506276150627617, "draft_acceptance_rate": 0.38354253835425384}
run=4 {"ttft_s": 0.30649716398329474, "decode_s": 15.869085964019177, "prompt_tokens": 61, "completion_tokens": 512, "chunks": 240, "lail_tok_s": 32.26398805582658, "recipe_tok_s": 32.20097245415504, "tokens_per_chunk": 2.1333333333333333, "repeat_ratio": 0.002421307506053269, "collapsed": false, "preview": "The KV cache is the product, not a leftover after util. On a DGX Spark with unified memory, the boundary between \"what the model knows\" and \"what the model has already computed\" dissolves into a single pool of addressable state. Every tab t", "acceptance_len": 2.1422594142259417, "draft_acceptance_rate": 0.3807531380753138}
run=5 {"ttft_s": 0.3523562870104797, "decode_s": 15.856981371995062, "prompt_tokens": 61, "completion_tokens": 512, "chunks": 240, "lail_tok_s": 32.28861710743009, "recipe_tok_s": 32.22555340214214, "tokens_per_chunk": 2.1333333333333333, "repeat_ratio": 0.002347417840375587, "collapsed": false, "preview": "The KV cache is the product, not a leftover after util. On a DGX Spark, unified memory collapses the usual hierarchy \u2014 host DRAM, device VRAM, and the cache tiers between them \u2014 into one physical pool, so the question of where the KV cache ", "acceptance_len": 2.1380753138075317, "draft_acceptance_rate": 0.3793584379358438}
run=6 {"ttft_s": 0.31044224998913705, "decode_s": 15.83951081201667, "prompt_tokens": 61, "completion_tokens": 512, "chunks": 239, "lail_tok_s": 32.32423059502383, "recipe_tok_s": 32.261097332142924, "tokens_per_chunk": 2.1422594142259412, "repeat_ratio": 0.0024449877750611247, "collapsed": false, "preview": "The KV cache is the product, not a leftover after util. On a DGX Spark with unified memory, the boundary between what the model \"remembers\" and what the machine \"stores\" is not a wall but a gradient. The system prompt, once written, becomes", "acceptance_len": 2.1470588235294117, "draft_acceptance_rate": 0.38235294117647056}
run=7 {"ttft_s": 0.3105722270265687, "decode_s": 15.708625908999238, "prompt_tokens": 61, "completion_tokens": 512, "chunks": 238, "lail_tok_s": 32.593557384715794, "recipe_tok_s": 32.52989809294877, "tokens_per_chunk": 2.1512605042016806, "repeat_ratio": 0.0024691358024691358, "collapsed": false, "preview": "The KV cache is the product, not a leftover after util. On a DGX Spark with unified memory, the boundary between \"what the model knows\" and \"what the model has already computed\" dissolves into a single addressable pool. A long system prompt", "acceptance_len": 2.1561181434599157, "draft_acceptance_rate": 0.3853727144866385}
run=8 {"ttft_s": 0.35809765401063487, "decode_s": 15.219688830984524, "prompt_tokens": 61, "completion_tokens": 512, "chunks": 230, "lail_tok_s": 33.640635211783106, "recipe_tok_s": 33.57493084613509, "tokens_per_chunk": 2.226086956521739, "repeat_ratio": 0.004750593824228029, "collapsed": false, "preview": "The KV cache is the product, not a leftover after util. That inversion matters because it changes what you are actually buying when you buy tokens. On a DGX Spark with unified memory, the boundary between \"prompt processing\" and \"generation", "acceptance_len": 2.2358078602620086, "draft_acceptance_rate": 0.4119359534206696}
run=9 {"ttft_s": 0.309876453015022, "decode_s": 15.636538510996616, "prompt_tokens": 61, "completion_tokens": 512, "chunks": 236, "lail_tok_s": 32.74381984477759, "recipe_tok_s": 32.67986707164326, "tokens_per_chunk": 2.169491525423729, "repeat_ratio": 0.0023584905660377358, "collapsed": false, "preview": "The KV cache is the product, not a leftover after util. On a DGX Spark with unified memory, the boundary between \"prefill\" and \"decode\" is not a wall but a gradient: the same physical pages that hold the system prompt's attention state are ", "acceptance_len": 2.178723404255319, "draft_acceptance_rate": 0.39290780141843973}
SUMMARY {
  "phase": "lail_prose",
  "concurrency": 1,
  "max_tokens": 512,
  "temperature": 0.2,
  "n": 9,
  "median_lail_tok_s": 32.3468508624131,
  "median_recipe_tok_s": 32.283673419322454,
  "median_ttft_s": 0.3105722270265687,
  "median_completion_tokens": 512,
  "median_acceptance_len": 2.1506276150627617,
  "median_draft_acceptance_rate": 0.38354253835425384
}
