url=http://127.0.0.1:8000/v1/chat/completions model=deepseek-ai/DeepSeek-V4.1-Flash max_tokens=512 temperature=0.2 runs=2 phase=lail_prose c=1
run=1 {"ttft_s": 0.32013999397167936, "decode_s": 15.505352245992981, "prompt_tokens": 61, "completion_tokens": 512, "finish_reason": "length", "chunks": 236, "lail_tok_s": 33.0208557585214, "recipe_tok_s": 32.95636189961804, "tokens_per_chunk": 2.169491525423729, "repeat_ratio": 0.002380952380952381, "collapsed": false, "preview": "The KV cache is the product, not a leftover after util. On a DGX Spark with unified memory, that product is manufactured at the boundary between the prompt-processing engine and the decode engine, and its cost is paid in the currency of ban", "acceptance_len": 2.178723404255319, "draft_acceptance_rate": 0.39290780141843973}
run=2 {"ttft_s": 0.3655446980264969, "decode_s": 16.226630551973358, "prompt_tokens": 61, "completion_tokens": 512, "finish_reason": "length", "chunks": 246, "lail_tok_s": 31.553069404031913, "recipe_tok_s": 31.491442315352163, "tokens_per_chunk": 2.0813008130081303, "repeat_ratio": 0.0024271844660194173, "collapsed": false, "preview": "The KV cache is the product, not a leftover after util. On a DGX Spark with unified memory, the boundary between \"what the model knows\" and \"what the machine remembers\" dissolves into a single pool that both the prompt and the cache draw fr", "acceptance_len": 2.0857142857142854, "draft_acceptance_rate": 0.3619047619047619}
natural phase=lail_prose completion_tokens=512 finish_reason=length
SUMMARY {
  "phase": "lail_prose",
  "concurrency": 1,
  "max_tokens": 512,
  "temperature": 0.2,
  "n": 2,
  "median_lail_tok_s": 32.286962581276654,
  "median_recipe_tok_s": 32.2239021074851,
  "median_ttft_s": 0.34284234599908814,
  "median_completion_tokens": 512.0,
  "natural_completion_tokens": 512,
  "natural_finish_reason": "length",
  "post_eos_fraction": 0.0,
  "median_acceptance_len": 2.132218844984802,
  "median_draft_acceptance_rate": 0.37740628166160084
}
